hash,path,size_bytes,modified_iso,duration_sec,bitrate,folder_hint
aa9b8a8df6aa6a4902485825c43e4433,/Users/steven/Movies/Ai-Art-Mp4/mp3/pals trickster.mp3,3917743,2025-05-31T11:59:26.068229,213.763,146620,steven/Movies
b42db796a7a1cbda54e9eb1eca005269,/Users/steven/Movies/Movies - Strayroll.mp3,478339,2025-05-31T12:02:29.692239,10.816,353801,steven/Movies
b42db796a7a1cbda54e9eb1eca005269,/Users/steven/Movies/stray/StrayRoll.mp3,478339,2025-05-31T12:02:29.692239,10.816,353801,steven/Movies
b7f7173e9df41f5996518748c6ad1f1b,/Users/steven/Movies/Ai-Art-Mp4/Ai-Art-Mp4 - Cookie Craving Creatures.mp3,2416091,2025-05-31T11:55:31.924943,16.277,1187473,steven/Movies
b7f7173e9df41f5996518748c6ad1f1b,/Users/steven/Movies/Ai-Art-Mp4/mp3/cookie_craving_creatures.mp3,2416091,2025-05-31T11:55:31.924943,16.277,1187473,steven/Movies
bddfeb1b4e7c70d956ca2ce4383b95f2,/Users/steven/Movies/Ai-Art-Mp4/mp3/Ring Pirate.mp3,5219855,2025-05-31T11:55:21.268965,32.322,1291956,steven/Movies
bddfeb1b4e7c70d956ca2ce4383b95f2,/Users/steven/Movies/Short - Ring Pirate.mp3,5219855,2025-05-31T11:55:21.268965,32.322,1291956,steven/Movies
c9fa258d97b9f34563576e21651265a2,/Users/steven/Movies/Ai-Art-Mp4/mp3/cuddler2.mp3,1200135,2025-05-31T11:55:15.932197,22.272,431082,steven/Movies
c9fa258d97b9f34563576e21651265a2,/Users/steven/Music/Meeso_-_Cuddler2.mp3,1200135,2025-05-31T11:55:15.932197,22.272,431082,steven/Music
d3b1bba93268d53d6c0427d5b8b79982,/Users/steven/Movies/CapCut/User Data/Projects/com.lveditor.draft/0406/generate_resources/9b6e56fa1bed21249dba60225264ef43.mp4,135569,2025-04-06T05:23:33.239286,10.400,104283,steven/Movies
d3b1bba93268d53d6c0427d5b8b79982,/Users/steven/Movies/CapCut/User Data/Projects/com.lveditor.draft/0601 (2)/generate_resources/ce80278c3deefef1cf2ec11d7e49e8bd.mp4,135569,2025-06-01T20:12:28.037062,10.400,104283,steven/Movies
edaa05bb64c05aa62d80de5e93057e53,/Users/steven/Movies/Ai-Art-Mp4/veo30fastgeneratepreview_A_black_and_white_mugshotstyle_poster_0.mp4,5044173,2025-08-03T13:37:12.486297,8.000,5044173,steven/Movies
edaa05bb64c05aa62d80de5e93057e53,/Users/steven/Movies/mp4/AblackandwhitemugshotstyleposterfeaturingaAdarkgreasyurbanalleyatnightfill.mp4,5044173,2025-09-11T15:19:21.343829,8.000,5044173,steven/Movies
eeea0337408badf6f754fe437fcddcb3,/Users/steven/Movies/Ai-Art-Mp4/Ai-Art-Mp4 - Cosmic Cookie Craze.mp3,3139940,2025-05-31T11:55:19.004429,27.904,900212,steven/Movies
eeea0337408badf6f754fe437fcddcb3,/Users/steven/Movies/Ai-Art-Mp4/mp3/cosmic_cookie_craze.mp3,3139940,2025-05-31T11:55:19.004429,27.904,900212,steven/Movies
ef4570552bb49dc7aa62eeb723f5efb7,/Users/steven/Movies/Movies - Straykisses.mp3,450223,2025-05-31T12:02:30.092195,7.936,453853,steven/Movies
ef4570552bb49dc7aa62eeb723f5efb7,/Users/steven/Movies/stray/strayKisses.mp3,450223,2025-05-31T12:02:30.092195,7.936,453853,steven/Movies
f738162beee8aa7e26ddb78a0b1f617f,/Users/steven/Movies/Ai-Art-Mp4/Ai-Art-Mp4 - Coh2024-Run.mp3,1348763,2025-05-31T11:55:09.570871,54.891,196574,steven/Movies
f738162beee8aa7e26ddb78a0b1f617f,/Users/steven/Movies/Ai-Art-Mp4/mp3/coh2024-run.mp3,1348763,2025-05-31T11:55:09.570871,54.891,196574,steven/Movies
f8493a733bdec2ec9e19e389cf54c93c,/Users/steven/Movies/Ai-Art-Mp4/mp3/Intro Stream.mp3,2399021,2025-05-31T11:55:13.364156,12.005,1598718,steven/Movies
f8493a733bdec2ec9e19e389cf54c93c,/Users/steven/Movies/Choake - Intro Stream.mp3,2399021,2025-05-31T11:55:13.364156,12.005,1598718,steven/Movies
