depth,file_count,folder_count,total_size_mb,top_extensions,top_categories
0,20,12,0.1928272247314453,".md(10), .py(3), (2), .txt(2), .csv(1)","code(12), other(4), project(3), documentation(1)"
1,25,49,1.2324390411376953,"(16), .txt(4), .md(2), .json(2), .py(1)","other(18), documentation(4), code(3)"
2,11062,240,139.2936601638794,".py(11026), (14), .sample(14), .txt(5), .csv(2)","code(11022), other(36), documentation(2), data(1), project(1)"
3,589,3,98.93506240844727,"(462), .json(116), .py(5), .pack(2), .rev(2)","other(473), code(116)"
4,3,1,0.0015001296997070312,(3),other(3)
5,1,0,0.0001811981201171875,(1),other(1)
