Filename,Duration,File Size,Creation Date,Original Path
samplevdo -mockupIMG_3455.mp4,0:06,8.43 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop/AutoMated-Mockups/360-tumbler-vidmock up file/samplevdo -mockupIMG_3455.mp4
video mockup with caption final.mp4,1:02,14.97 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop/AutoMated-Mockups/360-tumbler-vidmock up file/video mockup with caption final.mp4
can animated mockups instructions.mp4,5:35,68.05 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop/AutoMated-Mockups/280 ml can animated mockup/video tutorial/can animated mockups instructions.mp4
Publishing-Print-on-Demand-Products-in-MyDesigns.mp4,0:50,7.08 MB,05-02-25,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/mydesigns.io/blog/wp-content/uploads/2024/03/Publishing-Print-on-Demand-Products-in-MyDesigns.mp4
Publishing-Digital-Products-to-Etsy.mp4,1:35,17.05 MB,05-02-25,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/mydesigns.io/blog/wp-content/uploads/2024/03/Publishing-Digital-Products-to-Etsy.mp4
Vision-AI-for-Digital-Products.mp4,1:01,10.72 MB,05-02-25,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/mydesigns.io/blog/wp-content/uploads/2024/03/Vision-AI-for-Digital-Products.mp4
HomePage_Loop_v2_1_5mb.mp4,0:23,5.41 MB,06-09-25,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/www.plazmapunk.com/HomePage_Loop_v2_1_5mb.mp4
PlazmaPunk_EasyMode_HomePage.webm,Unknown,Unknown,06-09-25,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/www.plazmapunk.com/PlazmaPunk_EasyMode_HomePage.webm
mobile_univ.webm,Unknown,Unknown,06-09-25,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/www.plazmapunk.com/mobile_univ.webm
trailer.webm,Unknown,Unknown,06-09-25,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/www.plazmapunk.com/assets/trailer.webm
baddjenny_cyberpunk.webm,Unknown,Unknown,06-09-25,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/www.plazmapunk.com/assets/gallery/baddjenny_cyberpunk.webm
deer555_Contest7.webm,Unknown,Unknown,06-09-25,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/www.plazmapunk.com/assets/contests/deer555_Contest7.webm
Frank_Contest2.webm,Unknown,Unknown,06-09-25,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/www.plazmapunk.com/assets/contests/Frank_Contest2.webm
AbandondedMuse_Contest3.webm,Unknown,Unknown,06-09-25,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/www.plazmapunk.com/assets/contests/AbandondedMuse_Contest3.webm
