Filename,Duration,File Size,Creation Date,Original Path
Anti-Love Struck.mp4,2:18,132.80 MB,10-09-24,/Users/steven/Movies/trashy/mp4/Anti-Love Struck.mp4
Cannon Blastin.mp4,2:45,111.62 MB,10-09-24,/Users/steven/Movies/trashy/mp4/Cannon Blastin.mp4
Concrete Jungle Rumble.mp4,3:32,85.34 MB,10-09-24,/Users/steven/Movies/trashy/mp4/Concrete Jungle Rumble.mp4
No more love songs.mp4,2:40,6.16 MB,10-09-24,/Users/steven/Movies/trashy/mp4/No more love songs.mp4
Echoes of the Junkyard.mp4,2:55,16.41 MB,10-09-24,/Users/steven/Movies/trashy/mp4/Echoes of the Junkyard.mp4
raccoon_with_sunglasses.mp4,0:00,34.80 MB,10-09-24,/Users/steven/Movies/trashy/mp4/raccoon_with_sunglasses.mp4
liveFast-EatTrash-HeartbreakAlley-electonic.mp4,3:30,8.08 MB,10-09-24,/Users/steven/Movies/trashy/mp4/liveFast-EatTrash-HeartbreakAlley-electonic.mp4
Bite in the Night.mp4,3:58,197.95 MB,10-09-24,/Users/steven/Movies/trashy/mp4/Bite in the Night.mp4
In the Junkyard I find.mp4,2:44,62.89 MB,10-09-24,/Users/steven/Movies/trashy/mp4/In the Junkyard I find.mp4
underascorchingsun.mp4,2:05,2.29 MB,10-09-24,/Users/steven/Movies/spooky\/underascorchingsun.mp4
silent lady.mp4,2:08,4.93 MB,10-09-24,/Users/steven/Movies/spooky\/silent lady.mp4
cursedcamer.mp4,1:28,896.31 KB,10-09-24,/Users/steven/Movies/spooky\/cursedcamer.mp4
krampus.mp4,0:22,521.00 KB,10-09-24,/Users/steven/Movies/spooky\/krampus.mp4
43d6b24e-f8aa-4d5a-bfc4-36c9c4fd550a.mp4,0:00,3.65 MB,10-09-24,/Users/steven/Movies/All-MP4/43d6b24e-f8aa-4d5a-bfc4-36c9c4fd550a.mp4
Junkyard Symphony Scraps.mp4,3:11,4.42 MB,10-09-24,/Users/steven/Movies/All-MP4/Junkyard Symphony Scraps.mp4
Royalty of Refuse.mp4,3:47,5.26 MB,10-10-24,/Users/steven/Movies/All-MP4/Royalty of Refuse.mp4
6b9298c9-0870-4bc7-baa3-5f3b1184b641.mp4,0:00,35.38 MB,10-09-24,/Users/steven/Movies/All-MP4/6b9298c9-0870-4bc7-baa3-5f3b1184b641.mp4
motion_1.mp4,0:00,1.50 MB,10-09-24,/Users/steven/Movies/All-MP4/motion_1.mp4
Junkyard Moon Symphony.mp4,2:59,4.14 MB,10-09-24,/Users/steven/Movies/All-MP4/Junkyard Moon Symphony.mp4
0f8eb7bd-a7f6-4961-9263-e8d8d74da726.mp4,0:00,1.78 MB,10-09-24,/Users/steven/Movies/All-MP4/0f8eb7bd-a7f6-4961-9263-e8d8d74da726.mp4
Junkyard symphony from hearts.mp4,3:54,5.41 MB,10-10-24,/Users/steven/Movies/All-MP4/Junkyard symphony from hearts.mp4
Bite in the Night Accapella.mp4,0:35,33.56 MB,10-09-24,/Users/steven/Movies/All-MP4/Bite in the Night Accapella.mp4
Midnight Drive.mp4,1:09,2.08 MB,10-09-24,/Users/steven/Movies/All-MP4/Midnight Drive.mp4
56d80272-a1ba-45ea-a8b4-455bd36e02cf.mp4,0:00,1.80 MB,10-09-24,/Users/steven/Movies/All-MP4/56d80272-a1ba-45ea-a8b4-455bd36e02cf.mp4
ee896160-5f55-4ac5-8959-b4817d01cefd.mp4,0:00,2.66 MB,10-09-24,/Users/steven/Movies/All-MP4/ee896160-5f55-4ac5-8959-b4817d01cefd.mp4
8e05dc4a-bbe4-4bb9-8772-8666ee674838.mp4,0:00,34.18 MB,10-09-24,/Users/steven/Movies/All-MP4/8e05dc4a-bbe4-4bb9-8772-8666ee674838.mp4
38c6ed5c-c8fe-47de-94ff-140ebf1fec43.mp4,0:00,35.10 MB,10-09-24,/Users/steven/Movies/All-MP4/38c6ed5c-c8fe-47de-94ff-140ebf1fec43.mp4
Moonlight Alley Sammy Ballad.mp4,2:50,4.55 MB,10-09-24,/Users/steven/Movies/All-MP4/Moonlight Alley Sammy Ballad.mp4
Raccoon Clan.mp4,1:59,3.29 MB,10-09-24,/Users/steven/Movies/All-MP4/Raccoon Clan.mp4
Animated GIF - Find & Share on GIPHY(1).mp4,0:00,3.35 MB,10-09-24,/Users/steven/Movies/All-MP4/Animated GIF - Find & Share on GIPHY(1).mp4
Sammy's Serenade.mp4,3:55,5.42 MB,10-10-24,/Users/steven/Movies/All-MP4/Sammy's Serenade.mp4
4c71ed47-fc49-4519-971d-7035782bd348.mp4,0:00,34.80 MB,10-09-24,/Users/steven/Movies/All-MP4/4c71ed47-fc49-4519-971d-7035782bd348.mp4
Let's Get Trashy.mp4,3:00,4.17 MB,10-09-24,/Users/steven/Movies/All-MP4/Let's Get Trashy.mp4
Turning Trash Into Treasure.mp4,2:47,3.96 MB,10-09-24,/Users/steven/Movies/All-MP4/Turning Trash Into Treasure.mp4
Hope from Broken Parts.mp4,3:03,4.34 MB,10-09-24,/Users/steven/Movies/All-MP4/Hope from Broken Parts.mp4
Virtual Pulse.mp4,3:05,2.86 MB,10-09-24,/Users/steven/Movies/All-MP4/Virtual Pulse.mp4
c67b2307-6a0e-42f5-b7a4-5fec59b5375d.mp4,0:00,33.07 MB,10-09-24,/Users/steven/Movies/All-MP4/c67b2307-6a0e-42f5-b7a4-5fec59b5375d.mp4
47088cc3-2def-45fb-99a7-584168728d07.mp4,0:00,33.31 MB,10-09-24,/Users/steven/Movies/All-MP4/47088cc3-2def-45fb-99a7-584168728d07.mp4
69ed84a8-2a91-46dd-b31c-f0cc0f94c35d.mp4,0:00,34.63 MB,10-09-24,/Users/steven/Movies/All-MP4/69ed84a8-2a91-46dd-b31c-f0cc0f94c35d.mp4
