Filename,Duration,File Size,Creation Date,Original Path
Right.mp3,0:02,38.29 KB,05-31-25,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups/Documents/deepseek-api/script-commands/commands/media/speaker-setup/Right.mp3
Left.mp3,0:03,51.35 KB,05-31-25,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups/Documents/deepseek-api/script-commands/commands/media/speaker-setup/Left.mp3
heroes1.mp3,0:26,1.03 MB,05-31-25,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups/Documents/comic/CoH-Story/heroes1.mp3
During one of Wooly-s adv 2.wav,Unknown,Unknown,05-31-25,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups/Documents/itchy Isle/During one of Wooly-s adv 2.wav
