Filename,Duration,File Size,Creation Date,Original Path
hustl-20250731202401.mp4,0:00,12.76 MB,11-26-25,/Users/steven/Music/nocTurneMeLoDieS/suno_backups/data/data/Suno-reMix-content/hustl-20250731202401.mp4
petals-fall.mp4,0:00,36.35 MB,11-26-25,/Users/steven/Music/nocTurneMeLoDieS/Singles/petals-fall.mp4
Phi_Fibonacchi_and_Love_of_Self.mp4,2:07,104.62 MB,10-28-25,/Users/steven/Music/Phi_Fibonacchi_and_Love_of_Self/Phi_Fibonacchi_and_Love_of_Self.mp4
BinaryBiologyBallet.mp4,9:28,3.25 MB,11-04-25,/Users/steven/Music/podcast/BinaryBiologyBallet.mp4
BinaryBiologyBanter.mp4,10:13,3.51 MB,11-04-25,/Users/steven/Music/podcast/BinaryBiologyBanter.mp4
BinaryBiologyDance.mp4,10:49,3.72 MB,11-04-25,/Users/steven/Music/podcast/BinaryBiologyDance.mp4
DigitalArtisticParadox.mp4,10:00,3.44 MB,11-04-25,/Users/steven/Music/podcast/DigitalArtisticParadox.mp4
marrowbrook.mp4,1:52,1.09 MB,10-28-25,/Users/steven/Music/stories-to-be-told/marrowbrook.mp4
the Unseen Oberser FIN.mp4,3:16,7.52 MB,10-28-25,/Users/steven/Music/stories-to-be-told/the Unseen Oberser FIN.mp4
TYred-169.mp4,0:00,1.10 MB,10-28-25,/Users/steven/Music/stories-to-be-told/TYred-169.mp4
Play.ht_-_Unraveling_the_Mystery_of_Itchy_Isle.mp4,2:27,1.14 MB,10-28-25,/Users/steven/Music/stories-to-be-told/Play.ht_-_Unraveling_the_Mystery_of_Itchy_Isle.mp4
"Cosmic CoVe |  A song Full of Such Sorrow, those .mp4",2:26,4.49 MB,10-28-25,"/Users/steven/Music/stories-to-be-told/Cosmic CoVe |  A song Full of Such Sorrow, those .mp4"
The Unseen Observer.mp4,3:22,7.75 MB,10-28-25,/Users/steven/Music/stories-to-be-told/The Unseen Observer.mp4
theCursedAmulet.mp4,1:54,1.13 MB,10-28-25,/Users/steven/Music/stories-to-be-told/theCursedAmulet.mp4
Chalice of Reflection.mp4,2:19,2.67 MB,10-28-25,/Users/steven/Music/stories-to-be-told/Chalice of Reflection.mp4
The Last Train Part 1-HOOK.mp4,2:49,6.50 MB,10-28-25,/Users/steven/Music/stories-to-be-told/The Last Train Part 1-HOOK.mp4
