Filename,Duration,File Size,Creation Date,Original Path
Echoes of Yesterday.mp3,3:30,4.82 MB,10-09-24,/Users/steven/Music/suno/neon-punk-player/dist/mp3/Echoes of Yesterday.mp3
The-Alley-King.mp3,2:39,3.65 MB,10-09-24,/Users/steven/Music/suno/neon-punk-player/dist/mp3/The-Alley-King.mp3
Dumpster-Fire-Happy-Hour-backalley-live-punk-ROCK.mp3,2:34,5.88 MB,10-09-24,/Users/steven/Music/suno/neon-punk-player/dist/mp3/Dumpster-Fire-Happy-Hour-backalley-live-punk-ROCK.mp3
Whisper of the Willow.mp3,3:59,5.48 MB,10-09-24,/Users/steven/Music/suno/neon-punk-player/dist/mp3/Whisper of the Willow.mp3
Moonlit-Reverie.mp3,3:40,5.04 MB,10-09-24,/Users/steven/Music/suno/neon-punk-player/dist/mp3/Moonlit-Reverie.mp3
Love in Imperfection.mp3,3:40,5.05 MB,10-09-24,/Users/steven/Music/suno/neon-punk-player/dist/mp3/Love in Imperfection.mp3
Beautiful Mess.mp3,3:15,4.47 MB,10-09-24,/Users/steven/Music/suno/neon-punk-player/dist/mp3/Beautiful Mess.mp3
ESO Intoplay.mp3,1:14,1.07 MB,10-09-24,/Users/steven/Pictures/YThumbs/ESO Intoplay.mp3
intro-static.mp3,0:04,95.63 KB,10-09-24,/Users/steven/Movies/intro-static.mp3
KICK ASS Trance Mix by ME!.m4a,Unknown,Unknown,10-09-24,/Users/steven/Movies/KICK ASS Trance Mix by ME!.m4a
Static1.mp3,0:04,154.81 KB,10-09-24,/Users/steven/Movies/Static1.mp3
static2.mp3,0:02,94.27 KB,10-09-24,/Users/steven/Movies/static2.mp3
Vlog_Hip_Hop.mp3,1:30,2.11 MB,10-09-24,/Users/steven/Movies/Movavi Academic/Media Content/Music Library/Vlog_Hip_Hop.mp3
Dangerous_Contacts.mp3,2:23,3.50 MB,10-09-24,/Users/steven/Movies/Movavi Academic/Media Content/Music Library/Dangerous_Contacts.mp3
"Play.ht - Our tale begins with the Vestige, a....wav",Unknown,Unknown,10-09-24,"/Users/steven/Movies/ESO/Main/Play.ht - Our tale begins with the Vestige, a....wav"
Play.ht - craglorn.wav,Unknown,Unknown,10-09-24,/Users/steven/Movies/ESO/Main/Play.ht - craglorn.wav
audio2.mp3,0:10,42.56 KB,10-08-24,/Users/steven/Documents/python/Automatic-Video-Generator-for-youtube/audio/audio2.mp3
audio1.mp3,0:16,65.71 KB,10-08-24,/Users/steven/Documents/python/Automatic-Video-Generator-for-youtube/audio/audio1.mp3
young-evelyn.mp3,0:33,653.40 KB,10-08-24,/Users/steven/Documents/spooky-txt/SpookyTales/mp3/Play.ht - The Locket of Lament/3/young-evelyn.mp3
06 - Despite the cron 1.wav,Unknown,Unknown,10-08-24,/Users/steven/Documents/spooky-txt/SpookyTales/mp3/Play.ht - The Locket of Lament-F/6/06 - Despite the cron 1.wav
ominous.wav,Unknown,Unknown,10-08-24,/Users/steven/Documents/GitHub/chat-gpt-video-maker/src/data/audio/ominous.wav
silence.wav,Unknown,Unknown,10-08-24,/Users/steven/Documents/GitHub/chat-gpt-video-maker/src/data/audio/silence.wav
acousticbreeze.mp3,2:37,2.10 MB,10-08-24,/Users/steven/Documents/GitHub/youtube-gpt-content-maker/music/acousticbreeze.mp3
audio0.mp3,0:06,28.12 KB,10-08-24,/Users/steven/Documents/GitHub/Automatic-Video-Generator-for-youtube/audio/audio0.mp3
During one of Wooly-s adv 2.wav,Unknown,Unknown,10-08-24,/Users/steven/Documents/itchy Isle/During one of Wooly-s adv 2.wav
